epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,5424.39,0.92617,0.41912,0.84888,0.85678,0.81712,0.84268,0.36913,2.01783,0.75789,1.11441,0.00020317,0.00020317,0.00020317
114,5472.33,0.92502,0.41684,0.84693,0.85895,0.81854,0.84433,0.36952,2.01874,0.75828,1.11524,0.000199318,0.000199318,0.000199318
115,5520.5,0.92333,0.41677,0.84849,0.8578,0.81742,0.84322,0.36945,2.01829,0.75725,1.11535,0.000195479,0.000195479,0.000195479
116,5568.46,0.92134,0.41279,0.84914,0.85843,0.81734,0.84401,0.36882,2.01978,0.75519,1.11599,0.000191654,0.000191654,0.000191654
117,5616.5,0.91772,0.4129,0.84623,0.85871,0.81697,0.84397,0.36859,2.02048,0.7554,1.11691,0.000187843,0.000187843,0.000187843
118,5664.37,0.91775,0.41128,0.84725,0.857,0.81529,0.84255,0.36892,2.02071,0.75493,1.11742,0.000184048,0.000184048,0.000184048
119,5712.28,0.90846,0.40989,0.84417,0.85711,0.81606,0.84292,0.36933,2.02101,0.75503,1.11824,0.000180268,0.000180268,0.000180268
120,5760.33,0.90887,0.41068,0.84512,0.85591,0.81453,0.8415,0.36954,2.02194,0.75522,1.11908,0.000176506,0.000176506,0.000176506
121,5808.33,0.90862,0.41086,0.8457,0.85589,0.81572,0.84228,0.37007,2.02196,0.75442,1.11997,0.000172762,0.000172762,0.000172762
122,5856.37,0.90466,0.40656,0.84299,0.85521,0.81632,0.8427,0.36996,2.02273,0.7541,1.12091,0.000169037,0.000169037,0.000169037
123,5904.25,0.90441,0.40756,0.84287,0.8551,0.8156,0.84216,0.36889,2.02489,0.75456,1.12196,0.000165332,0.000165332,0.000165332
124,5952.27,0.90105,0.4055,0.84258,0.85375,0.81518,0.84194,0.36836,2.02492,0.75467,1.12249,0.000161648,0.000161648,0.000161648
125,6000.1,0.89411,0.40517,0.84191,0.8534,0.81406,0.841,0.3681,2.02515,0.75495,1.12319,0.000157986,0.000157986,0.000157986
126,6048.05,0.89502,0.40417,0.84279,0.85316,0.81409,0.84021,0.36797,2.02647,0.75419,1.1239,0.000154346,0.000154346,0.000154346
